County,Year,Total
Albany,2010,13
Albany,2010,2
Albany,2011,7
Albany,2011,3
Albany,2012,5
Albany,2012,3
Albany,2013,3
Albany,2013,2
Albany,2014,3
Albany,2014,1
Albany,2015,3
Albany,2016,3
Albany,2016,3
Allegany,2013,1
Allegany,2016,1
Bronx,2010,22
Bronx,2010,6
Bronx,2011,11
Bronx,2011,7
Bronx,2012,9
Bronx,2012,19
Bronx,2013,18
Bronx,2013,6
Bronx,2014,17
Bronx,2014,11
Bronx,2015,20
Bronx,2015,11
Bronx,2016,20
Bronx,2016,2
Broome,2010,2
Broome,2011,1
Broome,2011,1
Broome,2012,2
Broome,2012,1
Broome,2013,2
Broome,2013,3
Broome,2014,1
Broome,2015,3
Broome,2016,3
Cattaraugus,2011,1
Cattaraugus,2012,1
Cattaraugus,2013,1
Cattaraugus,2015,2
Cayuga,2010,1
Cayuga,2012,4
Cayuga,2015,1
Cayuga,2016,1
Chautauqua,2010,1
Chautauqua,2011,1
Chautauqua,2013,2
Chautauqua,2013,1
Chautauqua,2015,1
Chemung,2010,1
Chemung,2011,1
Chemung,2016,1
Chemung,2016,1
Chenango,2010,2
Chenango,2010,1
Chenango,2012,1
Chenango,2014,1
Chenango,2016,2
Clinton,2010,4
Clinton,2010,2
Clinton,2011,4
Clinton,2011,1
Clinton,2012,1
Clinton,2014,1
Clinton,2016,2
Columbia,2010,1
Columbia,2010,1
Columbia,2011,1
Columbia,2012,1
Columbia,2014,1
Cortland,2010,2
Cortland,2010,2
Cortland,2011,1
Cortland,2012,1
Cortland,2013,1
Cortland,2013,2
Cortland,2014,2
Delaware,2015,1
Dutchess,2010,10
Dutchess,2010,2
Dutchess,2011,7
Dutchess,2011,6
Dutchess,2012,4
Dutchess,2012,5
Dutchess,2013,5
Dutchess,2013,5
Dutchess,2014,3
Dutchess,2015,4
Dutchess,2015,1
Dutchess,2016,1
Erie,2010,41
Erie,2010,10
Erie,2011,29
Erie,2011,5
Erie,2012,42
Erie,2012,7
Erie,2013,21
Erie,2013,4
Erie,2014,17
Erie,2014,5
Erie,2015,6
Erie,2015,5
Erie,2016,10
Erie,2016,10
Essex,2010,1
Essex,2011,1
Essex,2014,2
